make,fuel_type,body_style,engine_size,horsepower,curb_weight,price
BMW,Gasoline,SUV,274,221,2232,17419
Ford,Diesel,SUV,372,158,2353,38697
Honda,Diesel,SUV,116,147,3004,24396
Honda,Diesel,Sedan,189,262,3356,44032
Ford,Diesel,SUV,240,233,2438,34892
BMW,Diesel,SUV,244,232,3398,12973
BMW,Gasoline,SUV,265,161,3315,47465
Honda,Diesel,Hatchback,177,264,2344,26113
BMW,Gasoline,SUV,361,247,2663,16136
Toyota,Gasoline,Sedan,262,164,3451,24203
Honda,Gasoline,Hatchback,113,166,2656,36285
BMW,Gasoline,Sedan,338,254,2129,28039
Honda,Diesel,SUV,171,290,2140,6184
Toyota,Gasoline,Hatchback,242,136,2414,27727
Honda,Gasoline,Sedan,382,250,3116,21911
Honda,Diesel,SUV,368,130,2625,5916
Honda,Diesel,Sedan,340,115,2283,8574
Honda,Diesel,Sedan,344,68,3979,41087
Toyota,Gasoline,Sedan,262,260,3946,22790
Ford,Diesel,SUV,159,297,3678,22625
Honda,Diesel,SUV,105,184,2222,10206
Honda,Gasoline,Sedan,296,167,2743,24517
BMW,Diesel,Hatchback,157,240,2462,42696
Honda,Diesel,Hatchback,316,91,3568,21105
BMW,Diesel,SUV,125,91,3299,40656
Ford,Diesel,SUV,104,108,3705,7690
Toyota,Gasoline,SUV,119,69,3163,41859
Toyota,Diesel,SUV,297,122,2356,5690
Ford,Diesel,SUV,158,66,3736,30103
Toyota,Gasoline,Hatchback,341,76,3046,39263
Ford,Diesel,SUV,245,224,3991,16085
Ford,Gasoline,Sedan,372,51,3759,30825
Ford,Diesel,Sedan,348,112,3903,15720
Toyota,Gasoline,Hatchback,113,111,3293,43641
BMW,Gasoline,Sedan,112,149,2858,42271
Ford,Gasoline,Hatchback,143,68,2664,16720
Honda,Gasoline,Hatchback,118,66,3356,5897
Toyota,Diesel,Sedan,162,118,3014,22094
Ford,Gasoline,SUV,338,216,2084,41463
Ford,Diesel,Sedan,199,259,2620,40454
Honda,Gasoline,Sedan,262,166,3054,28572
BMW,Gasoline,Hatchback,221,295,3764,43546
BMW,Gasoline,Sedan,143,248,2239,20150
BMW,Diesel,Hatchback,244,130,3913,21799
Ford,Gasoline,SUV,149,88,2362,14663
Ford,Diesel,SUV,164,85,2821,41948
Ford,Diesel,SUV,387,217,3412,42030
Toyota,Diesel,Sedan,263,222,3676,32007
Honda,Diesel,Hatchback,240,181,2667,40283
Ford,Diesel,SUV,227,279,3322,30671
Honda,Diesel,Hatchback,338,202,3880,30385
Honda,Diesel,Hatchback,395,246,3394,16236
BMW,Diesel,SUV,286,207,2098,27024
Toyota,Diesel,SUV,307,253,2046,44384
Ford,Gasoline,Hatchback,319,245,2838,22376
BMW,Gasoline,SUV,289,265,2421,42138
BMW,Gasoline,Hatchback,383,78,3503,23157
Ford,Gasoline,Hatchback,336,250,3602,24945
Honda,Gasoline,SUV,293,245,2061,41584
BMW,Diesel,Sedan,386,100,3132,28017
Honda,Diesel,SUV,358,201,3702,6756
Toyota,Diesel,Sedan,345,63,3572,40141
Honda,Diesel,Hatchback,235,118,3142,7576
Toyota,Diesel,Hatchback,379,195,3009,30467
Honda,Diesel,Sedan,370,219,2597,41952
BMW,Diesel,Hatchback,270,106,3405,36205
BMW,Gasoline,Sedan,258,260,2391,40165
Toyota,Gasoline,Sedan,300,61,2976,17674
Ford,Gasoline,Hatchback,144,259,3075,48094
Toyota,Gasoline,Sedan,363,66,2602,48314
Toyota,Diesel,SUV,170,79,3312,27353
Honda,Diesel,SUV,202,137,2336,34849
Honda,Diesel,Hatchback,224,252,2809,9535
Toyota,Gasoline,Hatchback,385,148,3227,46936
BMW,Diesel,Sedan,329,72,3903,22118
Honda,Diesel,Sedan,245,258,3261,5632
Ford,Diesel,Sedan,296,178,3405,18280
Honda,Gasoline,Sedan,320,128,3690,19746
Honda,Diesel,SUV,159,81,2751,42036
Ford,Gasoline,SUV,197,58,3159,24285
Toyota,Gasoline,Hatchback,270,64,3430,23047
Ford,Gasoline,Sedan,272,205,3531,15207
Toyota,Gasoline,Sedan,250,201,3385,10591
Toyota,Diesel,Hatchback,221,237,3404,32757
Toyota,Gasoline,Sedan,207,212,2880,21226
Ford,Gasoline,Sedan,103,263,3599,34732
Toyota,Diesel,Sedan,192,76,2634,32206
BMW,Diesel,Sedan,105,260,2253,25256
Ford,Gasoline,Sedan,387,158,3500,38822
BMW,Diesel,Hatchback,205,125,3137,46340
Toyota,Gasoline,Sedan,245,197,2019,48351
Honda,Gasoline,Hatchback,370,114,2527,45775
Toyota,Gasoline,Sedan,195,262,3168,14784
BMW,Gasoline,SUV,328,226,3231,42029
BMW,Diesel,SUV,301,158,3554,40157
Ford,Gasoline,SUV,311,178,2375,24937
Honda,Diesel,SUV,105,59,3527,16219
Ford,Diesel,Hatchback,211,96,3927,14399
BMW,Diesel,Hatchback,205,172,2165,38312
Toyota,Diesel,Sedan,238,108,3573,32657
Honda,Gasoline,SUV,398,145,3204,25047
Toyota,Diesel,Hatchback,195,239,2860,40007
Toyota,Gasoline,Sedan,396,152,2616,15559
Honda,Diesel,Sedan,313,173,2611,25157
Ford,Diesel,Hatchback,390,135,3625,40395
Toyota,Gasoline,SUV,121,195,3950,11618
BMW,Gasoline,Sedan,292,161,3835,49891
Toyota,Gasoline,SUV,249,223,3467,11780
Honda,Diesel,SUV,346,209,3355,32050
Honda,Diesel,SUV,366,76,2502,13015
Honda,Gasoline,Sedan,350,269,2912,8130
Ford,Gasoline,SUV,102,67,2078,33083
Toyota,Gasoline,Sedan,175,216,2584,21480
Ford,Gasoline,SUV,186,226,3958,40476
Ford,Diesel,Sedan,369,270,3961,43165
Honda,Gasoline,SUV,324,131,2687,16528
Honda,Gasoline,Hatchback,117,221,2395,10914
Ford,Gasoline,SUV,212,121,3631,42136
Toyota,Gasoline,SUV,350,103,3880,16179
BMW,Diesel,Sedan,332,272,3126,25472
Ford,Gasoline,Sedan,378,211,2401,17076
Toyota,Diesel,SUV,301,120,2974,29783
Honda,Gasoline,Hatchback,182,213,2223,18824
Honda,Gasoline,Hatchback,224,195,2517,9299
Toyota,Diesel,Sedan,274,87,2633,13118
BMW,Gasoline,Hatchback,168,236,2235,15756
Honda,Diesel,SUV,146,186,3450,12953
Honda,Diesel,Sedan,355,250,2115,42552
Honda,Gasoline,SUV,314,287,3186,20185
Toyota,Diesel,Sedan,129,249,2225,46792
Ford,Diesel,Sedan,380,228,2229,19674
Honda,Diesel,Sedan,336,84,2181,49476
Ford,Diesel,Sedan,347,131,3272,38927
BMW,Diesel,Hatchback,124,182,3341,5386
Honda,Diesel,SUV,173,191,3988,31617
Honda,Diesel,SUV,305,269,2209,12192
BMW,Diesel,SUV,193,207,3679,15745
Honda,Gasoline,Sedan,226,53,3415,35020
Ford,Gasoline,Hatchback,124,216,3880,47678
Toyota,Diesel,SUV,215,261,2095,26159
Ford,Gasoline,Hatchback,147,241,2893,8409
Toyota,Diesel,Sedan,325,202,3881,30745
Toyota,Diesel,SUV,365,205,2755,34455
Ford,Gasoline,Hatchback,198,253,3109,43910
Ford,Diesel,Sedan,110,243,2414,43735
Ford,Diesel,Hatchback,184,284,2393,34166
Ford,Diesel,SUV,313,255,2695,44973
BMW,Diesel,SUV,272,199,3656,33072
Honda,Gasoline,Sedan,308,208,2843,17109
Toyota,Diesel,Sedan,163,72,3524,7484
Ford,Diesel,Sedan,357,97,2603,39622
Ford,Diesel,Hatchback,220,197,2581,49399
Ford,Gasoline,Hatchback,397,174,3939,7597
BMW,Diesel,Hatchback,153,215,2132,45597
Ford,Gasoline,Sedan,371,104,2790,45954
Ford,Gasoline,SUV,340,117,2648,8983
Ford,Diesel,SUV,342,256,3337,44452
Honda,Diesel,Hatchback,117,137,3722,48151
BMW,Gasoline,Hatchback,286,266,2220,22040
Ford,Diesel,SUV,243,50,2975,49772
Toyota,Gasoline,SUV,361,184,3461,35554
Toyota,Gasoline,Hatchback,338,234,3069,32916
Toyota,Diesel,Hatchback,397,144,3813,49871
BMW,Diesel,SUV,175,189,3215,31372
BMW,Gasoline,Sedan,287,155,3543,44080
Toyota,Gasoline,Hatchback,345,182,3402,45706
Ford,Gasoline,SUV,229,157,2787,47722
BMW,Gasoline,SUV,382,227,2690,34048
Toyota,Diesel,SUV,178,91,3357,24669
Toyota,Diesel,SUV,171,151,2038,14777
Ford,Diesel,Sedan,362,173,3316,41331
Honda,Diesel,SUV,290,189,2689,25968
BMW,Diesel,Hatchback,162,152,2161,42809
Ford,Gasoline,Sedan,111,195,3354,16292
Toyota,Diesel,SUV,240,243,3909,45794
Toyota,Diesel,Sedan,353,123,3127,18923
Ford,Diesel,Hatchback,142,256,2160,32703
BMW,Diesel,SUV,116,271,3822,23657
Honda,Diesel,Hatchback,162,157,3658,8629
Honda,Gasoline,SUV,352,171,3077,7114
Toyota,Gasoline,SUV,391,66,3963,39445
BMW,Gasoline,SUV,107,245,3057,40862
Honda,Diesel,SUV,189,120,2241,30574
BMW,Gasoline,SUV,307,111,2966,37349
BMW,Gasoline,Sedan,391,90,2889,27257
Toyota,Diesel,SUV,383,272,2112,40052
Honda,Diesel,SUV,217,292,3013,42820
Ford,Diesel,Sedan,274,296,2317,22973
Toyota,Gasoline,Sedan,175,280,2022,30737
Honda,Gasoline,Sedan,200,168,3581,17047
Honda,Diesel,Sedan,250,211,2823,27113
Honda,Diesel,Sedan,369,247,3670,5694
Honda,Gasoline,Sedan,170,291,3141,20588
Honda,Gasoline,SUV,279,279,2700,25067
BMW,Diesel,SUV,223,94,3666,11704
Toyota,Diesel,Hatchback,392,107,3018,45136
BMW,Gasoline,SUV,384,228,3957,6971
Ford,Diesel,SUV,294,175,3235,45823
Honda,Gasoline,Sedan,327,211,3441,16441
Toyota,Gasoline,Sedan,374,93,3136,36476
Honda,Gasoline,SUV,205,64,3067,19677
Toyota,Gasoline,Hatchback,120,127,2127,32818
BMW,Diesel,Sedan,163,119,2875,6868
Toyota,Diesel,SUV,264,227,2157,23055
Ford,Gasoline,SUV,126,150,3808,6728
Ford,Gasoline,Hatchback,384,291,2826,12632
Toyota,Gasoline,Hatchback,247,209,3417,17043
Toyota,Gasoline,Sedan,380,244,3890,11403
Toyota,Gasoline,Hatchback,263,52,2851,20732
Toyota,Diesel,SUV,323,263,2511,23526
Ford,Diesel,SUV,371,135,3937,14340
Honda,Diesel,Hatchback,245,123,2044,43952
Toyota,Diesel,Hatchback,129,100,3131,27394
Toyota,Gasoline,Hatchback,144,116,2218,38021
Ford,Gasoline,Hatchback,374,125,2442,9102
Ford,Gasoline,Sedan,133,142,3853,41310
BMW,Gasoline,Hatchback,240,225,2314,24159
Toyota,Gasoline,Sedan,320,194,2176,11212
BMW,Diesel,SUV,121,56,2227,36824
Ford,Gasoline,Hatchback,279,62,3726,42405
Ford,Diesel,Sedan,330,169,3695,16525
Honda,Diesel,Hatchback,137,115,3929,33760
Toyota,Diesel,SUV,169,53,2266,49239
BMW,Diesel,SUV,215,187,2869,32457
Ford,Gasoline,SUV,338,280,2837,15532
Ford,Diesel,Hatchback,247,137,3402,18518
BMW,Diesel,Hatchback,108,66,2488,11476
Honda,Diesel,Sedan,387,101,2701,24743
Ford,Gasoline,SUV,149,183,2686,6004
Toyota,Gasoline,Hatchback,104,260,3313,48054
Ford,Gasoline,SUV,225,118,2995,42485
Toyota,Diesel,SUV,174,273,2356,8271
BMW,Diesel,Sedan,264,251,3680,5209
Toyota,Gasoline,Sedan,377,186,3767,30463
BMW,Diesel,Sedan,399,268,2871,10539
Toyota,Gasoline,Sedan,389,254,3973,24977
BMW,Gasoline,SUV,176,260,2203,13606
Toyota,Diesel,Sedan,397,70,3236,49384
Honda,Diesel,Sedan,236,73,2551,39052
Toyota,Diesel,Sedan,205,279,3810,8148
Toyota,Diesel,Sedan,194,53,2322,38536
Honda,Gasoline,SUV,234,201,2593,10607
Ford,Gasoline,Sedan,167,236,2180,24586
Ford,Gasoline,SUV,246,276,2498,34250
Toyota,Gasoline,Hatchback,258,52,3343,23594
Honda,Gasoline,SUV,262,117,2082,12399
Toyota,Diesel,SUV,288,298,2302,30117
BMW,Gasoline,Sedan,194,150,2261,38126
BMW,Gasoline,Hatchback,280,217,2783,38617
Toyota,Gasoline,Hatchback,387,225,3223,12498
Ford,Diesel,Hatchback,286,103,3263,42290
Ford,Diesel,Hatchback,237,84,2913,14628
Toyota,Diesel,SUV,229,272,2691,5329
Toyota,Diesel,Hatchback,293,105,2943,43619
BMW,Gasoline,SUV,372,157,2682,12032
Ford,Gasoline,SUV,243,266,3318,43034
Toyota,Diesel,SUV,115,89,3535,42122
BMW,Diesel,Hatchback,344,254,2688,25622
Ford,Gasoline,Sedan,206,117,3904,33584
Honda,Gasoline,Sedan,187,95,2395,9722
BMW,Diesel,Hatchback,228,127,3772,22772
Ford,Diesel,Sedan,103,190,3161,25569
Ford,Diesel,Sedan,194,204,2838,46679
BMW,Diesel,SUV,308,55,2877,8235
Honda,Gasoline,SUV,324,66,2822,9576
BMW,Gasoline,Hatchback,146,213,3152,31707
Ford,Gasoline,Hatchback,280,281,2048,38868
Toyota,Diesel,Sedan,205,290,3699,46632
Toyota,Diesel,SUV,298,148,2788,46476
BMW,Gasoline,Hatchback,205,130,2292,35285
Ford,Gasoline,Hatchback,379,282,3651,29154
Toyota,Gasoline,Hatchback,359,51,2535,25054
Ford,Gasoline,Hatchback,207,298,2310,22165
BMW,Diesel,Hatchback,118,126,2536,19439
Toyota,Gasoline,Hatchback,395,229,3926,49518
Ford,Gasoline,Sedan,270,115,2638,27515
Toyota,Gasoline,SUV,294,101,2233,31962
BMW,Gasoline,SUV,111,141,3232,47549
Ford,Gasoline,Hatchback,294,220,2604,42763
Toyota,Gasoline,SUV,382,267,2093,49754
BMW,Gasoline,SUV,281,71,2326,24464
Toyota,Diesel,SUV,243,160,2224,47036
Toyota,Diesel,Hatchback,281,156,2966,35413
Honda,Diesel,Hatchback,129,232,2889,38270
Honda,Diesel,SUV,183,116,3815,47299
BMW,Gasoline,SUV,265,276,2010,25269
Honda,Diesel,Hatchback,383,237,3352,36541
BMW,Diesel,Sedan,380,235,3035,13009
Honda,Gasoline,SUV,195,189,2034,22007
Toyota,Gasoline,Sedan,365,265,2446,31462
BMW,Diesel,SUV,397,118,3475,16542
BMW,Diesel,Sedan,395,133,3763,22434
Toyota,Gasoline,Sedan,324,152,3243,34765
BMW,Diesel,Sedan,141,88,2440,28769
BMW,Gasoline,Hatchback,345,62,2652,27465
Honda,Gasoline,Sedan,307,90,3558,26868
BMW,Gasoline,Sedan,336,106,2594,25156
Ford,Gasoline,Sedan,121,230,2228,25300
Toyota,Diesel,SUV,284,286,3958,18435
Honda,Gasoline,Sedan,341,61,2343,9114
Honda,Gasoline,SUV,382,62,3103,41135
Ford,Diesel,Sedan,140,169,3376,13095
Toyota,Gasoline,Sedan,261,251,3419,42909
Toyota,Diesel,Hatchback,259,146,3313,8951
Honda,Diesel,SUV,188,106,3478,26468
BMW,Diesel,Sedan,111,89,3866,32073
Honda,Gasoline,SUV,172,167,3694,39341
Toyota,Diesel,SUV,175,129,2988,7768
Ford,Diesel,Hatchback,300,177,3151,43070
Honda,Gasoline,Hatchback,109,222,3725,38979
Toyota,Diesel,Hatchback,325,84,2908,30351
Honda,Diesel,Hatchback,275,52,3566,20445
BMW,Diesel,Hatchback,375,169,3921,6160
Honda,Diesel,Hatchback,138,54,3382,27361
Honda,Diesel,Hatchback,159,267,2526,12041
Toyota,Gasoline,Hatchback,165,60,3336,23767
Toyota,Diesel,Sedan,223,175,2074,15846
Toyota,Diesel,SUV,263,120,3569,43644
Honda,Gasoline,Hatchback,258,166,3894,24924
BMW,Gasoline,Hatchback,156,233,2195,18882
Ford,Gasoline,SUV,177,187,3866,19738
Ford,Diesel,Sedan,293,155,2028,26019
Toyota,Gasoline,SUV,384,165,2705,6095
Toyota,Diesel,SUV,114,211,3020,43669
Honda,Diesel,Hatchback,111,116,2015,45983
Ford,Gasoline,SUV,200,249,3446,19123
Toyota,Gasoline,SUV,255,80,3612,33132
BMW,Diesel,Hatchback,224,124,2804,6079
BMW,Gasoline,Hatchback,379,286,3616,34657
Toyota,Diesel,Hatchback,209,120,3428,37375
Toyota,Gasoline,Hatchback,245,286,2939,29754
Ford,Gasoline,SUV,315,115,3659,36153
Ford,Gasoline,SUV,261,119,3554,23344
Honda,Diesel,Sedan,227,90,2966,39241
Ford,Gasoline,Sedan,249,240,3637,42656
BMW,Diesel,SUV,135,209,3927,9979
BMW,Diesel,Sedan,272,69,3100,6212
Toyota,Diesel,SUV,121,234,2228,14001
Ford,Diesel,Sedan,305,275,2961,18248
Honda,Gasoline,Hatchback,226,227,3320,38187
BMW,Diesel,Sedan,316,257,3533,20608
BMW,Diesel,Hatchback,195,202,2714,41427
Honda,Gasoline,Hatchback,263,189,2983,36368
Honda,Diesel,Hatchback,247,248,3989,10283
BMW,Gasoline,Hatchback,117,88,2572,30854
BMW,Diesel,Sedan,393,194,3561,15715
Honda,Gasoline,SUV,294,94,3606,21165
BMW,Diesel,Hatchback,250,188,2614,39108
Toyota,Gasoline,Sedan,222,119,2325,31797
Toyota,Diesel,Hatchback,286,174,3386,15584
Honda,Diesel,Sedan,248,200,3692,19780
Ford,Gasoline,Sedan,203,140,2874,42905
Honda,Gasoline,Sedan,342,287,2358,26573
Honda,Gasoline,SUV,330,119,3729,38359
Ford,Gasoline,Sedan,305,215,3810,5526
Ford,Diesel,Sedan,297,179,2323,12855
Ford,Diesel,SUV,186,263,3721,48463
Toyota,Gasoline,SUV,241,133,3349,39060
BMW,Diesel,Sedan,298,138,3648,34482
Toyota,Gasoline,SUV,145,128,3848,21571
BMW,Gasoline,Hatchback,387,162,2164,36740
Toyota,Diesel,Hatchback,114,142,3596,24142
BMW,Diesel,SUV,143,121,3627,30104
Toyota,Diesel,SUV,268,214,2797,13625
Ford,Diesel,Sedan,143,98,2454,44199
Honda,Diesel,SUV,197,101,3992,20926
Toyota,Diesel,Sedan,360,82,3176,36218
BMW,Diesel,Hatchback,208,71,3760,49472
Ford,Gasoline,SUV,382,163,3150,31380
Toyota,Gasoline,Sedan,203,288,2192,25566
Toyota,Gasoline,Sedan,355,182,2626,38205
Ford,Gasoline,Hatchback,305,280,3797,48548
Toyota,Gasoline,SUV,142,67,2529,34717
Honda,Diesel,Hatchback,344,215,3033,46756
Toyota,Gasoline,Sedan,386,167,2091,30135
Honda,Gasoline,Sedan,372,166,2138,33164
Honda,Gasoline,SUV,182,86,2480,13953
Ford,Gasoline,Sedan,209,271,2448,43562
Toyota,Gasoline,SUV,289,292,3356,8574
Ford,Gasoline,Hatchback,387,272,2868,25169
Toyota,Gasoline,SUV,350,113,2339,26604
Toyota,Diesel,SUV,311,187,3984,29134
BMW,Diesel,Sedan,390,128,3075,28202
Toyota,Gasoline,Sedan,232,219,3730,5684
Ford,Diesel,SUV,300,172,2465,42001
Honda,Diesel,Sedan,384,225,2717,13007
Toyota,Diesel,Sedan,194,93,2798,40096
BMW,Diesel,Sedan,377,131,2474,46787
Ford,Gasoline,SUV,318,136,2400,14255
Toyota,Diesel,Sedan,188,274,3462,37262
Ford,Diesel,SUV,171,65,3901,23093
BMW,Diesel,Sedan,346,103,2604,10782
BMW,Gasoline,Hatchback,228,151,2931,6234
Ford,Gasoline,Sedan,311,212,2996,42973
Toyota,Gasoline,Sedan,195,147,2921,39188
Honda,Gasoline,SUV,174,205,2820,36996
BMW,Gasoline,SUV,153,51,2656,34204
Toyota,Gasoline,Sedan,153,143,2597,22152
Toyota,Gasoline,Hatchback,317,190,3532,47364
Honda,Diesel,Sedan,115,218,3176,30019
BMW,Diesel,Sedan,198,257,2513,24488
BMW,Diesel,Hatchback,119,108,3526,42123
Toyota,Gasoline,SUV,145,118,3877,24689
Toyota,Gasoline,Sedan,292,168,3924,33506
Honda,Gasoline,SUV,157,141,3795,22715
Honda,Gasoline,SUV,210,230,3699,46029
BMW,Gasoline,Hatchback,228,280,3029,18765
Ford,Diesel,Hatchback,293,94,2499,26942
BMW,Diesel,SUV,107,197,3684,43712
Toyota,Gasoline,Sedan,128,73,2716,44894
BMW,Gasoline,SUV,211,238,3141,43031
Ford,Gasoline,Sedan,260,140,3508,25478
Honda,Gasoline,Sedan,230,143,2600,27551
Ford,Diesel,Hatchback,287,107,2665,33072
Ford,Gasoline,Sedan,262,286,3974,40561
Ford,Gasoline,Sedan,296,204,3702,7892
Honda,Gasoline,SUV,303,203,2467,38966
Ford,Gasoline,Hatchback,311,177,2160,29395
Ford,Diesel,Sedan,208,56,2269,23756
Ford,Gasoline,Sedan,375,219,3079,27174
Toyota,Gasoline,Hatchback,172,96,2227,39651
Ford,Diesel,SUV,266,102,2848,5797
Honda,Diesel,Hatchback,359,236,2148,13209
Ford,Diesel,Hatchback,342,87,3069,46003
Ford,Gasoline,Sedan,374,246,3167,26346
Honda,Gasoline,Sedan,201,264,3773,33024
Ford,Diesel,SUV,272,269,3807,34414
Honda,Diesel,Sedan,270,275,2631,45818
Ford,Diesel,Sedan,240,102,3363,10947
Honda,Diesel,Hatchback,287,192,2412,14617
Ford,Diesel,Sedan,185,273,3755,25704
Ford,Diesel,SUV,151,203,2519,33702
Toyota,Gasoline,Hatchback,210,97,3367,6892
Toyota,Gasoline,SUV,142,144,2386,34754
Ford,Gasoline,Hatchback,310,196,3496,8424
Ford,Diesel,Sedan,299,186,2274,47218
BMW,Diesel,Hatchback,397,113,2352,18418
Honda,Diesel,Hatchback,339,142,3089,34886
BMW,Diesel,Sedan,214,231,3102,39783
Toyota,Diesel,Sedan,125,174,2597,28057
Toyota,Diesel,SUV,398,299,3659,9833
Toyota,Gasoline,SUV,176,228,3225,14894
Toyota,Gasoline,Sedan,236,88,3685,46833
Ford,Diesel,Sedan,119,53,2557,5565
Toyota,Gasoline,Sedan,310,175,2112,45180
Ford,Diesel,Hatchback,339,52,3114,23402
Ford,Gasoline,Hatchback,138,297,2140,47845
Toyota,Diesel,Hatchback,367,113,3312,15315
Toyota,Diesel,Sedan,306,78,3924,17834
Honda,Gasoline,SUV,366,165,2729,7314
BMW,Gasoline,Sedan,253,60,2588,42180
Toyota,Diesel,Hatchback,141,146,2410,8883
Honda,Diesel,Hatchback,110,151,2376,49152
Honda,Gasoline,Sedan,393,235,3407,15051
BMW,Gasoline,Sedan,197,252,3869,45984
Ford,Diesel,Hatchback,374,204,3175,16695
Toyota,Gasoline,Hatchback,329,274,3858,28123
BMW,Diesel,Hatchback,319,70,2750,12902
Toyota,Diesel,Sedan,164,88,2626,22573
Honda,Diesel,Hatchback,331,272,3342,34374
Honda,Diesel,Hatchback,151,151,3392,17288
Ford,Gasoline,SUV,362,95,3629,11884
Honda,Gasoline,Sedan,366,115,2994,15559
Honda,Gasoline,SUV,253,140,3583,23125
BMW,Gasoline,SUV,239,213,2702,8688
Toyota,Gasoline,Hatchback,150,252,2461,28869
Toyota,Gasoline,Sedan,216,160,2011,43137
BMW,Gasoline,Hatchback,145,131,3179,49706
Ford,Diesel,Sedan,187,172,3707,9023
Toyota,Gasoline,SUV,307,242,2476,22100
Honda,Gasoline,Sedan,368,240,2938,41735
Toyota,Diesel,Hatchback,188,148,2400,12423
Honda,Gasoline,Hatchback,217,84,2807,44218
Ford,Gasoline,Hatchback,153,208,2176,17213
BMW,Diesel,Sedan,215,205,3364,40983
Toyota,Gasoline,SUV,217,152,2056,38158
BMW,Gasoline,SUV,359,178,3878,33460
Toyota,Gasoline,Sedan,174,74,3875,36017
Honda,Diesel,Hatchback,106,92,2447,38000
BMW,Gasoline,SUV,221,279,2202,31502
Toyota,Gasoline,Hatchback,110,133,3720,35990
Honda,Diesel,Sedan,314,244,3656,24515
BMW,Gasoline,Hatchback,378,240,2737,34991
BMW,Diesel,SUV,127,100,2201,12634
Toyota,Diesel,SUV,334,179,3353,16498
Toyota,Gasoline,Hatchback,125,259,2362,15916
Toyota,Diesel,Sedan,153,175,2891,34377
Honda,Diesel,Hatchback,128,285,2453,38001
Toyota,Gasoline,Sedan,263,241,2355,6391
BMW,Diesel,Hatchback,369,251,2215,48852
BMW,Diesel,SUV,134,118,2971,47215
Toyota,Gasoline,Sedan,385,58,2554,19184
Toyota,Gasoline,Sedan,372,51,2886,32114
Ford,Gasoline,Sedan,307,211,2022,16882
BMW,Diesel,SUV,337,237,2154,22273
Honda,Gasoline,Hatchback,192,279,3209,45670
Ford,Diesel,SUV,272,238,2248,22129
Toyota,Diesel,Sedan,178,208,2748,47679
Toyota,Diesel,Hatchback,209,59,2804,5427
BMW,Diesel,SUV,316,163,2133,36416
Toyota,Diesel,Sedan,205,125,2320,5731
Honda,Diesel,Sedan,146,213,2389,5799
BMW,Diesel,SUV,280,295,2433,33873
Toyota,Gasoline,SUV,163,134,3045,12025
BMW,Gasoline,SUV,345,98,2872,19481
Toyota,Diesel,Sedan,343,288,3623,30411
Toyota,Diesel,SUV,186,119,3688,36358
Toyota,Gasoline,Sedan,316,289,3148,45392
Honda,Diesel,SUV,106,226,3102,19961
Honda,Gasoline,Sedan,377,180,2857,26767
BMW,Gasoline,Sedan,309,251,3991,46000
Toyota,Gasoline,Hatchback,268,182,2050,41135
Toyota,Diesel,SUV,237,287,3751,26392
Honda,Diesel,SUV,329,267,2175,18262
Toyota,Gasoline,Sedan,260,238,2869,10229
Honda,Gasoline,Sedan,100,262,2252,28772
Toyota,Gasoline,Sedan,335,286,2965,23799
BMW,Gasoline,Hatchback,287,139,3269,28555
Toyota,Gasoline,Hatchback,103,279,2738,31616
Toyota,Diesel,Sedan,231,285,3129,24333
Ford,Gasoline,SUV,317,75,3216,9261
Honda,Diesel,SUV,359,121,3339,8466
Toyota,Gasoline,Hatchback,100,54,2301,8088
Toyota,Diesel,Hatchback,170,64,2547,6115
Ford,Diesel,Sedan,277,172,3977,9578
Ford,Diesel,SUV,288,193,2715,7590
Honda,Diesel,Sedan,390,50,3957,12372
Ford,Diesel,Hatchback,107,193,2778,8573
BMW,Diesel,SUV,352,214,2267,7978
Ford,Gasoline,SUV,391,52,3193,48407
BMW,Diesel,Hatchback,343,229,3009,14422
Honda,Gasoline,Sedan,222,96,2550,48626
Honda,Diesel,Sedan,398,144,3478,28697
Honda,Diesel,SUV,382,62,3674,35820
Honda,Gasoline,Hatchback,131,169,3315,42743
Honda,Diesel,SUV,245,257,3587,9925
BMW,Gasoline,Hatchback,255,104,3822,34430
BMW,Gasoline,Sedan,115,284,3824,33834
Honda,Gasoline,Hatchback,146,198,3164,29435
Ford,Gasoline,Sedan,350,115,3169,26676
Toyota,Diesel,Hatchback,286,231,3448,48554
Honda,Diesel,SUV,130,204,2313,24814
Ford,Gasoline,Sedan,359,215,2183,19716
Toyota,Diesel,SUV,116,139,3687,32528
Honda,Diesel,SUV,138,235,2712,6995
Honda,Gasoline,Sedan,138,111,2127,27414
BMW,Diesel,Sedan,231,151,3310,18844
Toyota,Gasoline,SUV,129,223,3846,41659
Toyota,Gasoline,SUV,257,266,3276,20522
Ford,Diesel,SUV,377,188,3801,44913
BMW,Diesel,SUV,302,249,2699,13498
BMW,Diesel,Sedan,165,57,2385,47322
BMW,Gasoline,Sedan,207,146,3253,7102
BMW,Gasoline,SUV,367,166,2270,40798
Toyota,Diesel,Hatchback,321,248,3794,13524
Toyota,Diesel,Hatchback,391,113,2810,35846
Honda,Diesel,Sedan,117,279,2414,13107
Honda,Diesel,SUV,189,70,2197,23268
BMW,Gasoline,SUV,280,249,3346,29399
BMW,Diesel,Sedan,354,164,3079,14624
BMW,Gasoline,Hatchback,352,295,2830,32126
Honda,Gasoline,Hatchback,356,240,3226,28131
Ford,Diesel,Hatchback,186,134,3806,25714
Ford,Diesel,Sedan,189,241,3644,45631
